연도,월,모기 계
2008,4,69
2008,5,176
2008,6,1938
2008,7,4699
2008,8,2901
2008,9,3315
2008,10,2425
2008,11,438
2009,4,96
2009,5,259
2009,6,2349
2009,7,2667
2009,8,1846
2009,9,1694
2010,4,22
2010,5,242
2010,6,3225
2010,7,2900
2010,8,1393
2010,9,998
2010,10,601
2010,11,72
2011,4,2
2011,5,366
2011,6,739
2011,7,1152
2011,8,1176
2011,9,2019
2011,10,1314
2011,11,912
2012,4,43
2012,5,411
2012,6,1907
2012,7,3409
2012,8,2597
2012,9,1570
2012,10,1384
2012,11,110
2013,4,16
2013,5,86
2013,6,520
2013,7,3696
2013,8,1287
2013,9,1454
2013,10,2142
2013,11,430
2014,4,60
2014,5,218
2014,6,254
2014,7,1894
2014,8,899
2014,9,1411
2014,10,1359
2014,11,796
2015,4,47
2015,5,258
2015,6,1141
2015,7,3150
2015,8,2646
2015,9,1152
2015,10,1437
2015,11,490
2016,4,53
2016,5,656
2016,6,2716
2016,7,4635
2016,8,3322
2016,9,2610
2016,10,2516
2016,11,584
2017,4,77
2017,5,452
2017,6,1182
2017,7,1957
2017,8,1569
2017,9,2653
2017,10,1514
2017,11,285
2018,4,20
2018,5,306
2018,6,516
2018,7,1137
2018,8,1564
2018,9,761
2018,10,1367
2018,11,394
2019,4,168
2019,5,160
2019,6,595
2019,7,1825
2019,8,853
2019,9,885
2019,10,1603
2019,11,519
2020,5,151
2020,6,734
2020,7,1285
2020,8,1216
2020,9,1148
2020,10,1331
2020,11,145
2021,5,461
2021,6,1016
2021,7,1331
2021,8,1217
2021,9,869
2021,10,1395
2021,11,730
2022,5,553
2022,6,1104
2022,7,1400
2022,8,1591
2022,9,1779
2022,10,1653
2022,11,1379
2023,4,224
2023,5,750
2023,6,1125
2023,7,2299
2023,8,1872
2023,9,2177
2023,10,3126
